year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,average_value,diff_ratio,average_ratio
2014,5,4,902212000,902212,90,NO,449,6454913,,NO,165,7997952,,-1543039,,-0.106763538,
2008,5,4,902213000,902213,90,,,,,NO,61,83813,,-83813,,-1,
2009,5,4,902213000,902213,90,,,,,NO,72,110440,,-110440,,-1,
2010,5,4,902213000,902213,90,NO,13,732,,NO,83,120359,,-119627,,-0.987909919,
2011,5,4,902213000,902213,90,,,,,NO,48,69985,,-69985,,-1,
2012,5,4,902213000,902213,90,NO,1,828,,NO,36,65042,,-64214,,-0.974859572,
2013,5,4,902213000,902213,90,NO,1,1012,,NO,19,79527,,-78515,,-0.974869318,
2014,5,4,902213000,902213,90,,,,,NO,44,177943,,-177943,,-1,
2008,5,4,902214000,902214,90,,,,,NO,480,3316070,,-3316070,,-1,
2009,5,4,902214000,902214,90,,,,,NO,10885,5017729,,-5017729,,-1,
2010,5,4,902214000,902214,90,,,,,NO,1067,5778249,,-5778249,,-1,
2011,5,4,902214000,902214,90,,,,,NO,1320,5579790,,-5579790,,-1,
2012,5,4,902214000,902214,90,,,,,NO,1213,5328736,,-5328736,,-1,
2013,5,4,902214000,902214,90,,,,,NO,1347,5387059,,-5387059,,-1,
2014,5,4,902214000,902214,90,,,,,NO,1051,4048316,,-4048316,,-1,
2008,5,4,902214010,902214,90,NO,248,180449,,,,,,180449,,1,
2009,5,4,902214010,902214,90,NO,2389,1272030,,,,,,1272030,,1,
2010,5,4,902214010,902214,90,NO,123,727438,,,,,,727438,,1,
2011,5,4,902214010,902214,90,NO,264,756141,,,,,,756141,,1,
2012,5,4,902214010,902214,90,NO,297,1009052,,,,,,1009052,,1,
2013,5,4,902214010,902214,90,NO,277,1569962,,,,,,1569962,,1,
2014,5,4,902214010,902214,90,NO,226,1561487,,,,,,1561487,,1,
2008,5,4,902219000,902219,90,KG,5968,52126,8.73424933,KG,355402,5647214,15.88965172,-5595088,-7.155402389,-0.981708057,-0.290587684
2009,5,4,902219000,902219,90,KG,8571,62317,7.270680201,KG,290346,4377782,15.07781061,-4315465,-7.807130411,-0.971929905,-0.349335912
2010,5,4,902219000,902219,90,KG,41794,323566,7.741924678,KG,365212,4702681,12.87657854,-4379115,-5.134653857,-0.871249463,-0.249031358
