"","year","tech","type","HS","HS6","HS2","export_unit","export_num","export_value","export_average","import_unit","import_num","import_value","import_average","diff_value","average_value","diff_ratio","average_ratio"
"3384",2013,4,4,902620090,902620,90,2,90809,207871,2.289101301,1,NA,NA,NA,207871,2.289101301,1,1
"3385",2014,4,4,902620090,902620,90,2,116514,313810,2.693324407,1,NA,NA,NA,313810,2.693324407,1,1
"3386",2008,4,4,902620110,902620,90,1,NA,NA,NA,3,279982,2367331,8.455297126,-2367331,-8.455297126,-1,-1
"3387",2009,4,4,902620110,902620,90,1,NA,NA,NA,3,285550,2017443,7.06511294,-2017443,-7.06511294,-1,-1
"3388",2010,4,4,902620110,902620,90,1,NA,NA,NA,3,339306,2745282,8.090873725,-2745282,-8.090873725,-1,-1
"3389",2011,4,4,902620110,902620,90,1,NA,NA,NA,3,306599,2629791,8.577298034,-2629791,-8.577298034,-1,-1
"3390",2012,4,4,902620110,902620,90,1,NA,NA,NA,3,291361,2531860,8.689769736,-2531860,-8.689769736,-1,-1
"3391",2013,4,4,902620110,902620,90,1,NA,NA,NA,3,254385,2648085,10.40975293,-2648085,-10.40975293,-1,-1
"3392",2014,4,4,902620110,902620,90,1,NA,NA,NA,3,221355,2851009,12.87980393,-2851009,-12.87980393,-1,-1
"3393",2008,4,4,902620190,902620,90,1,NA,NA,NA,3,43109,652678,15.14017954,-652678,-15.14017954,-1,-1
"3394",2009,4,4,902620190,902620,90,1,NA,NA,NA,3,33180,445137,13.41582278,-445137,-13.41582278,-1,-1
"3395",2010,4,4,902620190,902620,90,1,NA,NA,NA,3,66265,703543,10.61711311,-703543,-10.61711311,-1,-1
