"","names.best_clu.cluster.","best_clu.cluster"
"1052","1052",4
"1053","1053",4
"1054","1054",4
"1055","1055",4
"1056","1056",4
"1057","1057",4
"1058","1058",4
"1059","1059",4
"1060","1060",4
"1061","1061",3
"1062","1062",3
"1063","1063",3
"1064","1064",3
"1065","1065",3
"1066","1066",3
"1067","1067",4
"1068","1068",4
"1069","1069",4
"1070","1070",4
"1071","1071",4
"1072","1072",4
"1073","1073",4
"1074","1074",4
"1075","1075",4
"1076","1076",4
"1077","1077",4
"1078","1078",4
"1079","1079",4
"1080","1080",4
"1081","1081",4
"1082","1082",4
"1083","1083",4
"1084","1084",4
"1085","1085",4
"1086","1086",4
"1087","1087",4
"1088","1088",3
"1089","1089",4
"1090","1090",4
"1091","1091",4
"1092","1092",4
"1093","1093",4
"1094","1094",4
"1095","1095",4
"1096","1096",4
"1097","1097",4
"1098","1098",4
"1099","1099",4
"1100","1100",4
"1101","1101",4
"1102","1102",2
"1103","1103",2
"1104","1104",4
"1105","1105",2
"1106","1106",2
"1107","1107",2
"1108","1108",2
"1109","1109",6
"1110","1110",4
"1111","1111",4
"1112","1112",2
"1113","1113",2
"1114","1114",2
"1115","1115",2
"1116","1116",4
"1117","1117",4
"1118","1118",6
"1119","1119",4
"1120","1120",4
"1121","1121",4
"1122","1122",4
"1123","1123",3
"1124","1124",3
"1125","1125",4
"1126","1126",4
"1127","1127",4
"1128","1128",4
"1129","1129",4
"1130","1130",4
"1131","1131",4
"1132","1132",4
"1133","1133",4
"1134","1134",4
"1135","1135",4
"1136","1136",4
"1137","1137",4
"1138","1138",4
"1139","1139",4
"1140","1140",4
"1141","1141",4
"1142","1142",4
"1143","1143",2
"1144","1144",2
"1145","1145",2
"1146","1146",4
"1147","1147",4
"1148","1148",4
"1149","1149",4
"1150","1150",4
"1151","1151",2
"1152","1152",2
"1153","1153",4
"1154","1154",2
"1155","1155",2
"1156","1156",2
"1157","1157",2
"1158","1158",2
"1159","1159",2
"1160","1160",4
"1161","1161",2
"1162","1162",2
"1163","1163",2
"1164","1164",4
"1165","1165",2
"1166","1166",2
"1167","1167",4
"1168","1168",4
"1169","1169",4
"1170","1170",4
"1171","1171",4
"1172","1172",2
"1173","1173",2
